Waypoint Number,X [m] ,Y [m] ,Alt. ASL [m] ,Alt. AGL [m] ,xcoord ,ycoord 
1,"-514081.116132","-7535906.923072","120.000000",nan,"-44.863310","-22.282413"
2,"-514119.730884","-7535899.200121","120.000000",nan,"-44.862936","-22.282483"
3,"-514158.345636","-7535891.477171","120.000000",nan,"-44.862561","-22.282552"
4,"-514196.960389","-7535883.754220","120.000000",nan,"-44.862186","-22.282622"
5,"-514235.575141","-7535876.031270","120.000000",nan,"-44.861811","-22.282691"
6,"-514274.189893","-7535868.308319","120.000000",nan,"-44.861436","-22.282761"
7,"-514312.804645","-7535860.585369","120.000000",nan,"-44.861061","-22.282830"
8,"-514351.419397","-7535852.862419","120.000000",nan,"-44.860686","-22.282900"
9,"-514390.034149","-7535845.139468","120.000000",nan,"-44.860311","-22.282969"
10,"-514428.648901","-7535837.416518","120.000000",nan,"-44.859936","-22.283039"
11,"-514467.263654","-7535829.693567","120.000000",nan,"-44.859561","-22.283108"
12,"-514505.878406","-7535821.970617","120.000000",nan,"-44.859186","-22.283177"
13,"-514544.493158","-7535814.247666","120.000000",nan,"-44.858811","-22.283247"
14,"-514583.107910","-7535806.524716","120.000000",nan,"-44.858437","-22.283316"
15,"-514621.722662","-7535798.801766","120.000000",nan,"-44.858062","-22.283386"
16,"-514660.337414","-7535791.078815","120.000000",nan,"-44.857687","-22.283455"
17,"-514698.952166","-7535783.355865","120.000000",nan,"-44.857312","-22.283525"
18,"-514737.566919","-7535775.632914","120.000000",nan,"-44.856937","-22.283594"
19,"-514776.181671","-7535767.909964","120.000000",nan,"-44.856562","-22.283664"
20,"-514812.084426","-7535758.379016","120.000000",nan,"-44.856213","-22.283749"
21,"-514804.361476","-7535719.764264","120.000000",nan,"-44.856288","-22.284098"
22,"-514779.384627","-7535707.030359","120.000000",nan,"-44.856530","-22.284213"
23,"-514740.769875","-7535714.753310","120.000000",nan,"-44.856905","-22.284144"
24,"-514702.155123","-7535722.476260","120.000000",nan,"-44.857280","-22.284075"
25,"-514663.540371","-7535730.199211","120.000000",nan,"-44.857655","-22.284005"
26,"-514624.925618","-7535737.922161","120.000000",nan,"-44.858030","-22.283936"
27,"-514586.310866","-7535745.645111","120.000000",nan,"-44.858405","-22.283866"
28,"-514547.696114","-7535753.368062","120.000000",nan,"-44.858780","-22.283797"
29,"-514509.081362","-7535761.091012","120.000000",nan,"-44.859155","-22.283727"
30,"-514470.466610","-7535768.813963","120.000000",nan,"-44.859530","-22.283658"
31,"-514431.851858","-7535776.536913","120.000000",nan,"-44.859905","-22.283588"
32,"-514393.237105","-7535784.259864","120.000000",nan,"-44.860279","-22.283519"
33,"-514354.622353","-7535791.982814","120.000000",nan,"-44.860654","-22.283450"
34,"-514316.007601","-7535799.705764","120.000000",nan,"-44.861029","-22.283380"
35,"-514277.392849","-7535807.428715","120.000000",nan,"-44.861404","-22.283311"
